lead_id,company_size,source,industry,engagement_score,response_time_hours,prior_interactions,budget_confirmed,attended_demo,lead_age_months,converted
1,201-1000,Webinar,Corporate Security,58.9,8.6,2,1,1,3.6,1
2,51-200,Webinar,NGO/Nonprofit,48.8,12.0,0,0,1,2.5,0
3,1000+,Inbound Website,NGO/Nonprofit,,0.5,1,0,1,1.4,1
4,201-1000,Inbound Website,NGO/Nonprofit,63.1,2.7,2,1,0,1.4,1
5,1-50,Referral,NGO/Nonprofit,35.5,28.8,3,0,0,1.0,0
6,1000+,Referral,Higher Education,50.8,96.2,2,0,1,0.2,1
7,201-1000,Webinar,Corporate Security,43.8,22.2,2,0,0,5.7,0
8,201-1000,Cold Outreach,Government,18.3,19.3,2,0,0,0.5,0
9,1-50,University Partnership,Government,31.6,36.0,4,1,0,0.1,1
10,51-200,Cold Outreach,Other,81.4,8.2,3,0,0,0.5,0
11,51-200,Inbound Website,Healthcare,57.7,19.0,2,1,0,0.8,1
12,1000+,Inbound Website,Other,23.5,11.8,4,1,0,1.0,0
13,201-1000,Webinar,Corporate Security,19.2,11.5,2,0,0,1.2,0
14,201-1000,Cold Outreach,Corporate Security,47.8,4.9,1,1,0,3.1,0
15,51-200,University Partnership,Corporate Security,,14.1,2,0,1,6.8,1
16,1-50,Webinar,Higher Education,46.3,17.3,2,0,1,2.2,0
17,51-200,Cold Outreach,Higher Education,76.1,46.1,2,0,0,6.4,0
18,1-50,Webinar,Corporate Security,57.0,73.1,3,0,0,0.5,0
19,201-1000,Inbound Website,Higher Education,59.4,2.2,2,0,0,2.2,0
20,201-1000,Referral,Other,23.3,2.9,2,0,1,0.4,1
21,201-1000,Referral,Higher Education,68.8,42.5,1,0,1,2.3,0
22,51-200,University Partnership,Higher Education,43.3,19.8,6,0,1,0.3,1
23,1000+,Conference,NGO/Nonprofit,67.3,33.9,4,1,1,0.4,1
24,1000+,Webinar,Higher Education,33.7,2.4,1,0,0,0.4,0
25,201-1000,University Partnership,Other,53.5,4.1,0,1,0,1.2,0
26,1-50,Conference,Healthcare,57.0,19.7,0,1,0,2.6,0
27,51-200,Cold Outreach,Higher Education,46.9,13.7,6,1,0,0.1,0
28,1-50,Cold Outreach,Healthcare,58.1,14.6,5,0,0,4.2,0
29,1-50,Conference,Healthcare,44.7,54.3,5,1,1,0.3,0
30,201-1000,Referral,NGO/Nonprofit,37.0,32.8,2,1,0,2.0,0
31,201-1000,University Partnership,NGO/Nonprofit,82.1,11.6,4,1,1,0.7,1
32,1000+,Webinar,Healthcare,71.0,54.2,5,1,0,0.1,0
33,51-200,University Partnership,Corporate Security,34.8,14.2,2,0,0,0.6,1
34,51-200,Inbound Website,Government,61.4,33.0,2,0,1,0.3,0
35,51-200,University Partnership,Healthcare,35.1,32.0,5,1,0,0.6,0
36,1-50,Referral,Other,26.3,10.7,2,0,0,0.1,0
37,1-50,University Partnership,Corporate Security,70.7,25.9,1,0,0,2.8,1
38,51-200,Cold Outreach,Healthcare,15.9,59.6,1,1,1,2.9,0
39,1-50,University Partnership,Corporate Security,68.5,53.7,3,1,0,4.2,1
40,201-1000,Referral,NGO/Nonprofit,44.9,21.9,3,0,1,2.9,0
41,51-200,Conference,Other,45.8,6.4,2,0,1,8.3,0
42,201-1000,Cold Outreach,Higher Education,58.2,7.6,2,0,1,0.1,1
43,201-1000,Cold Outreach,Higher Education,61.6,37.1,2,0,0,0.1,1
44,51-200,Referral,Corporate Security,33.5,18.0,5,1,1,0.2,1
45,201-1000,Cold Outreach,Corporate Security,64.4,18.3,1,1,0,0.9,1
46,201-1000,University Partnership,Corporate Security,52.3,1.3,5,0,1,2.1,1
47,51-200,Webinar,Higher Education,24.9,7.1,0,0,0,0.2,0
