order_id,date,month,product_line,channel,units,revenue,returned
100001,2025-01-21,2025-01,Sports & Outdoors,Mobile App,2,56.45,False
100002,2025-01-23,2025-01,Beauty,Website,3,71.55,False
100003,2025-01-06,2025-01,Home & Garden,Mobile App,3,251.34,False
100004,2025-01-03,2025-01,Apparel,Mobile App,2,94.32,False
100005,2025-01-22,2025-01,Sports & Outdoors,Marketplace,2,151.32,False
100006,2025-01-12,2025-01,Apparel,Website,2,110.48,False
100007,2025-01-12,2025-01,Electronics,Website,3,601.72,False
100008,2025-01-15,2025-01,Electronics,Website,1,202.57,False
100009,2025-01-05,2025-01,Beauty,Website,3,78.24,False
100010,2025-01-27,2025-01,Electronics,Mobile App,2,355.83,False
100011,2025-01-25,2025-01,Beauty,Mobile App,1,16.66,False
100012,2025-01-18,2025-01,Home & Garden,Website,2,219.35,False
100013,2025-01-21,2025-01,Home & Garden,Mobile App,2,152.2,False
100014,2025-01-03,2025-01,Electronics,Website,2,276.6,False
100015,2025-01-09,2025-01,Sports & Outdoors,Website,2,120.72,False
100016,2025-01-29,2025-01,Home & Garden,Mobile App,1,76.0,False
100017,2025-01-13,2025-01,Beauty,Website,2,59.36,False
100018,2025-01-24,2025-01,Electronics,Website,3,497.16,False
100019,2025-01-16,2025-01,Electronics,Website,3,421.66,False
100020,2025-01-19,2025-01,Apparel,Website,2,62.49,False
100021,2025-01-16,2025-01,Apparel,Marketplace,3,126.04,False
100022,2025-01-25,2025-01,Electronics,Website,2,290.84,False
100023,2025-01-22,2025-01,Electronics,Mobile App,1,130.69,False
100024,2025-01-01,2025-01,Beauty,Website,3,102.78,False
100025,2025-01-03,2025-01,Apparel,Website,2,103.39,False
100026,2025-01-06,2025-01,Apparel,Website,1,28.03,False
100027,2025-01-10,2025-01,Home & Garden,Website,3,264.02,True
100028,2025-01-05,2025-01,Electronics,Mobile App,3,640.21,False
100029,2025-01-21,2025-01,Sports & Outdoors,Mobile App,2,45.17,False
100030,2025-01-30,2025-01,Home & Garden,Website,1,68.45,False
100031,2025-01-01,2025-01,Apparel,Mobile App,3,59.6,False
100032,2025-01-04,2025-01,Home & Garden,Mobile App,1,75.28,False
100033,2025-01-20,2025-01,Apparel,Website,3,107.45,False
100034,2025-01-10,2025-01,Beauty,Website,3,135.26,False
100035,2025-01-20,2025-01,Apparel,Marketplace,2,110.99,True
100036,2025-01-10,2025-01,Sports & Outdoors,Marketplace,2,276.38,False
100037,2025-01-07,2025-01,Home & Garden,Website,3,232.59,False
100038,2025-01-13,2025-01,Apparel,Mobile App,2,102.16,False
100039,2025-01-30,2025-01,Apparel,Mobile App,1,44.98,False
100040,2025-01-12,2025-01,Sports & Outdoors,Website,2,122.26,False
100041,2025-01-10,2025-01,Electronics,Website,3,553.48,False
100042,2025-01-09,2025-01,Home & Garden,Website,1,70.77,False
100043,2025-01-24,2025-01,Apparel,Mobile App,2,126.77,False
100044,2025-01-26,2025-01,Apparel,Marketplace,1,39.87,False
100045,2025-01-05,2025-01,Home & Garden,Marketplace,2,136.21,False
100046,2025-01-16,2025-01,Home & Garden,Mobile App,1,44.67,False
100047,2025-01-24,2025-01,Sports & Outdoors,Mobile App,2,124.84,False
100048,2025-01-14,2025-01,Beauty,Website,2,96.7,False
100049,2025-01-08,2025-01,Apparel,Website,3,90.45,False
100050,2025-01-24,2025-01,Electronics,Website,2,459.81,False
100051,2025-01-30,2025-01,Electronics,Website,3,271.95,False
100052,2025-01-27,2025-01,Apparel,Website,3,125.44,False
100053,2025-01-06,2025-01,Electronics,Website,3,629.67,False
100054,2025-01-05,2025-01,Apparel,Website,1,44.0,True
100055,2025-01-07,2025-01,Apparel,Mobile App,1,65.01,False
100056,2025-01-26,2025-01,Electronics,Mobile App,1,123.33,True
100057,2025-01-16,2025-01,Apparel,Website,1,74.43,False
100058,2025-01-09,2025-01,Electronics,Website,1,100.76,False
100059,2025-01-04,2025-01,Sports & Outdoors,Website,1,117.89,False
100060,2025-01-08,2025-01,Beauty,Mobile App,3,103.87,False
100061,2025-01-23,2025-01,Home & Garden,Website,1,109.08,False
100062,2025-01-25,2025-01,Home & Garden,Website,2,125.26,False
100063,2025-01-06,2025-01,Apparel,Website,2,125.02,False
100064,2025-01-14,2025-01,Home & Garden,Website,2,209.52,False
100065,2025-01-27,2025-01,Electronics,Website,2,531.42,False
100066,2025-01-07,2025-01,Home & Garden,Mobile App,3,163.27,False
100067,2025-01-02,2025-01,Beauty,Mobile App,1,34.84,False
100068,2025-01-20,2025-01,Beauty,Website,1,15.29,False
100069,2025-01-30,2025-01,Beauty,Mobile App,3,124.76,False
100070,2025-01-29,2025-01,Apparel,Mobile App,3,110.17,False
100071,2025-01-06,2025-01,Home & Garden,Mobile App,1,14.26,False
100072,2025-01-23,2025-01,Beauty,Website,3,28.34,False
100073,2025-01-27,2025-01,Apparel,Website,1,54.19,False
100074,2025-01-29,2025-01,Home & Garden,Website,3,233.61,False
100075,2025-01-20,2025-01,Electronics,Website,1,156.19,False
100076,2025-01-03,2025-01,Electronics,Website,3,751.66,False
100077,2025-01-30,2025-01,Beauty,Website,3,102.41,False
100078,2025-01-01,2025-01,Sports & Outdoors,Website,3,484.52,False
100079,2025-01-04,2025-01,Home & Garden,Mobile App,1,74.72,False
100080,2025-01-23,2025-01,Electronics,Website,3,357.42,False
100081,2025-01-16,2025-01,Beauty,Website,3,24.0,False
100082,2025-01-22,2025-01,Beauty,Website,1,35.65,False
100083,2025-01-22,2025-01,Apparel,Website,3,134.95,False
100084,2025-01-26,2025-01,Sports & Outdoors,Mobile App,1,80.72,True
100085,2025-01-05,2025-01,Home & Garden,Mobile App,1,34.65,False
100086,2025-01-08,2025-01,Beauty,Marketplace,1,36.35,False
100087,2025-01-26,2025-01,Apparel,Website,3,212.22,False
100088,2025-01-03,2025-01,Apparel,Mobile App,3,99.24,False
100089,2025-01-04,2025-01,Sports & Outdoors,Mobile App,3,303.71,False
100090,2025-01-01,2025-01,Sports & Outdoors,Mobile App,1,117.92,False
100091,2025-01-24,2025-01,Sports & Outdoors,Website,1,102.33,False
100092,2025-01-28,2025-01,Apparel,Marketplace,2,84.48,False
100093,2025-01-17,2025-01,Home & Garden,Marketplace,3,244.98,False
100094,2025-01-22,2025-01,Electronics,Website,2,338.01,False
100095,2025-01-03,2025-01,Electronics,Mobile App,1,163.51,False
100096,2025-01-05,2025-01,Apparel,Mobile App,2,58.46,True
100097,2025-01-10,2025-01,Electronics,Website,2,218.88,False
100098,2025-01-19,2025-01,Home & Garden,Mobile App,3,262.81,False
100099,2025-01-11,2025-01,Electronics,Mobile App,2,630.03,False
100100,2025-01-26,2025-01,Sports & Outdoors,Marketplace,3,261.69,False
100101,2025-01-09,2025-01,Electronics,Mobile App,3,610.31,False
100102,2025-01-26,2025-01,Electronics,Website,1,147.17,False
100103,2025-01-03,2025-01,Apparel,Mobile App,3,68.65,False
100104,2025-01-22,2025-01,Home & Garden,Website,1,8.0,False
100105,2025-01-03,2025-01,Beauty,Website,3,118.6,False
100106,2025-01-24,2025-01,Home & Garden,Website,2,183.86,False
100107,2025-01-15,2025-01,Apparel,Mobile App,1,75.37,False
100108,2025-01-07,2025-01,Sports & Outdoors,Website,3,398.19,False
100109,2025-01-11,2025-01,Beauty,Website,1,52.62,False
100110,2025-01-10,2025-01,Sports & Outdoors,Website,1,40.23,False
100111,2025-01-07,2025-01,Home & Garden,Website,2,104.36,False
100112,2025-01-27,2025-01,Home & Garden,Mobile App,3,196.84,False
100113,2025-01-20,2025-01,Electronics,Website,1,203.27,False
100114,2025-01-11,2025-01,Beauty,Mobile App,2,65.93,False
100115,2025-01-10,2025-01,Sports & Outdoors,Website,2,122.63,False
100116,2025-01-31,2025-01,Home & Garden,Website,3,284.05,False
100117,2025-01-09,2025-01,Sports & Outdoors,Website,1,94.86,False
100118,2025-01-18,2025-01,Electronics,Mobile App,1,175.96,False
100119,2025-01-25,2025-01,Electronics,Mobile App,2,371.98,False
100120,2025-01-09,2025-01,Beauty,Mobile App,3,127.5,False
100121,2025-01-26,2025-01,Home & Garden,Mobile App,2,225.2,False
100122,2025-01-05,2025-01,Beauty,Mobile App,1,28.96,False
100123,2025-01-10,2025-01,Beauty,Website,1,43.67,False
100124,2025-01-11,2025-01,Electronics,Mobile App,3,715.8,False
100125,2025-01-17,2025-01,Sports & Outdoors,Mobile App,3,308.87,False
100126,2025-01-30,2025-01,Apparel,Mobile App,1,24.08,False
100127,2025-01-01,2025-01,Beauty,Mobile App,3,110.63,False
100128,2025-01-04,2025-01,Sports & Outdoors,Website,2,194.75,False
100129,2025-01-17,2025-01,Electronics,Marketplace,1,243.69,False
100130,2025-01-13,2025-01,Electronics,Mobile App,3,424.79,False
100131,2025-01-14,2025-01,Electronics,Marketplace,2,201.4,False
100132,2025-01-21,2025-01,Beauty,Mobile App,2,116.85,False
100133,2025-01-25,2025-01,Apparel,Mobile App,2,37.85,False
100134,2025-01-16,2025-01,Electronics,Website,3,783.96,False
100135,2025-01-11,2025-01,Apparel,Website,1,50.98,False
100136,2025-01-14,2025-01,Sports & Outdoors,Mobile App,2,121.78,False
100137,2025-01-11,2025-01,Apparel,Website,3,168.3,False
100138,2025-01-31,2025-01,Home & Garden,Mobile App,3,162.03,False
100139,2025-01-10,2025-01,Apparel,Mobile App,1,54.47,False
100140,2025-01-08,2025-01,Beauty,Website,3,124.32,False
100141,2025-01-19,2025-01,Beauty,Marketplace,3,86.46,False
100142,2025-01-06,2025-01,Apparel,Mobile App,2,81.73,False
100143,2025-01-29,2025-01,Apparel,Marketplace,2,68.22,True
100144,2025-01-02,2025-01,Apparel,Website,1,44.62,False
100145,2025-01-02,2025-01,Apparel,Website,1,65.63,False
100146,2025-01-14,2025-01,Electronics,Website,1,202.39,True
100147,2025-01-09,2025-01,Sports & Outdoors,Website,1,82.44,False
100148,2025-01-01,2025-01,Electronics,Mobile App,1,105.96,False
100149,2025-01-08,2025-01,Apparel,Website,1,32.5,False
100150,2025-01-24,2025-01,Sports & Outdoors,Website,1,54.13,False
100151,2025-01-06,2025-01,Apparel,Website,1,52.67,True
100152,2025-01-29,2025-01,Apparel,Website,1,10.25,False
100153,2025-01-03,2025-01,Home & Garden,Mobile App,2,148.99,False
100154,2025-01-17,2025-01,Apparel,Mobile App,2,65.99,False
100155,2025-01-08,2025-01,Electronics,Mobile App,3,804.28,False
100156,2025-01-23,2025-01,Electronics,Mobile App,3,571.67,False
100157,2025-01-16,2025-01,Electronics,Website,2,369.36,False
100158,2025-01-12,2025-01,Apparel,Mobile App,1,76.25,False
100159,2025-01-26,2025-01,Sports & Outdoors,Mobile App,1,89.38,False
100160,2025-01-21,2025-01,Apparel,Website,3,78.35,True
100161,2025-01-29,2025-01,Sports & Outdoors,Mobile App,1,89.36,False
100162,2025-01-03,2025-01,Home & Garden,Mobile App,3,204.58,True
100163,2025-01-14,2025-01,Electronics,Mobile App,2,123.64,True
100164,2025-01-02,2025-01,Apparel,Mobile App,2,97.31,False
100165,2025-01-06,2025-01,Electronics,Mobile App,2,478.69,False
100166,2025-01-09,2025-01,Sports & Outdoors,Website,3,287.3,True
100167,2025-01-02,2025-01,Home & Garden,Website,3,168.52,False
100168,2025-01-21,2025-01,Home & Garden,Website,2,86.57,False
100169,2025-01-22,2025-01,Sports & Outdoors,Marketplace,1,52.8,False
100170,2025-01-28,2025-01,Sports & Outdoors,Website,3,256.01,False
100171,2025-01-21,2025-01,Beauty,Mobile App,3,61.74,False
100172,2025-01-22,2025-01,Beauty,Website,3,152.96,False
100173,2025-01-15,2025-01,Sports & Outdoors,Website,1,143.63,False
100174,2025-01-20,2025-01,Electronics,Mobile App,2,428.32,False
100175,2025-01-01,2025-01,Sports & Outdoors,Website,2,234.61,False
100176,2025-01-12,2025-01,Apparel,Website,2,110.28,False
100177,2025-01-01,2025-01,Apparel,Website,3,141.06,False
100178,2025-01-11,2025-01,Apparel,Website,1,41.16,False
100179,2025-01-15,2025-01,Apparel,Website,1,60.17,False
100180,2025-01-21,2025-01,Apparel,Website,2,88.58,False
100181,2025-01-10,2025-01,Sports & Outdoors,Marketplace,3,163.17,False
100182,2025-01-19,2025-01,Apparel,Website,1,40.75,False
100183,2025-01-26,2025-01,Home & Garden,Website,3,185.13,False
